"","1:129","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72"
"11",0.0192307692307692,0.0192307692307692,0.0188679245283019,0.0188679245283019,0.0188679245283019,0.0188679245283019,0.0188679245283019,0.0188679245283019,0.0188679245283019,0.0188679245283019,0.0188679245283019,0.0188679245283019,0.0192307692307692,0.0192307692307692,0.0188679245283019,0.0188679245283019,0.0188679245283019,0.0181818181818182,0.0181818181818182,0.0181818181818182,0.0181818181818182,0.0181818181818182,0.0181818181818182,0.0181818181818182,0.0181818181818182,0.0181818181818182,0.0181818181818182,0.0185185185185185,0.0185185185185185,0.0181818181818182,0.0181818181818182,0.0181818181818182,0.0181818181818182,0.0181818181818182,0.0181818181818182,0.0181818181818182,0.0181818181818182,0.0181818181818182,0.0181818181818182,0.0181818181818182,0.0181818181818182,0.0181818181818182,0.0185185185185185,0.0185185185185185,0.0181818181818182,0.0181818181818182,0.0181818181818182,0.0181818181818182,0.0181818181818182,0.0181818181818182,0.0181818181818182,0.0181818181818182,0.0181818181818182,0.0181818181818182,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.1,0.1,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.1,0.1,0.0185185185185185
"12",0.0175438596491228,0.0175438596491228,0.0172413793103448,0.0172413793103448,0.0172413793103448,0.0172413793103448,0.0172413793103448,0.0172413793103448,0.0172413793103448,0.0172413793103448,0.0172413793103448,0.0172413793103448,0.0175438596491228,0.0175438596491228,0.0172413793103448,0.0172413793103448,0.0172413793103448,0.0166666666666667,0.0166666666666667,0.0166666666666667,0.0166666666666667,0.0166666666666667,0.0166666666666667,0.0166666666666667,0.0166666666666667,0.0166666666666667,0.0166666666666667,0.0169491525423729,0.0169491525423729,0.0166666666666667,0.0166666666666667,0.0166666666666667,0.0166666666666667,0.0166666666666667,0.0166666666666667,0.0166666666666667,0.0166666666666667,0.0166666666666667,0.0166666666666667,0.0166666666666667,0.0166666666666667,0.0166666666666667,0.0169491525423729,0.0169491525423729,0.0166666666666667,0.0166666666666667,0.0166666666666667,0.0166666666666667,0.0166666666666667,0.0166666666666667,0.0166666666666667,0.0166666666666667,0.0166666666666667,0.0166666666666667,0.0169491525423729,0.0169491525423729,0.0169491525423729,0.0172413793103448,0.0172413793103448,0.0169491525423729,0.0169491525423729,0.0169491525423729,0.0169491525423729,0.0169491525423729,0.0169491525423729,0.0169491525423729,0.0169491525423729,0.0169491525423729,0.0169491525423729,0.0172413793103448,0.0172413793103448,0.0169491525423729
"13",0.0161290322580645,0.0161290322580645,0.0158730158730159,0.0158730158730159,0.0158730158730159,0.0158730158730159,0.0158730158730159,0.0158730158730159,0.0158730158730159,0.0158730158730159,0.0158730158730159,0.0158730158730159,0.0161290322580645,0.0161290322580645,0.0158730158730159,0.0158730158730159,0.0158730158730159,0.0153846153846154,0.0153846153846154,0.0153846153846154,0.0153846153846154,0.0153846153846154,0.0153846153846154,0.0153846153846154,0.0153846153846154,0.0153846153846154,0.0153846153846154,0.015625,0.015625,0.0153846153846154,0.0153846153846154,0.0153846153846154,0.0153846153846154,0.0153846153846154,0.0153846153846154,0.0153846153846154,0.0153846153846154,0.0153846153846154,0.0153846153846154,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0833333333333333,0.0833333333333333,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0833333333333333,0.0833333333333333,0.015625,0.0158730158730159,0.0158730158730159,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.0158730158730159,0.0158730158730159,0.015625
"14",0.0149253731343284,0.0149253731343284,0.0147058823529412,0.0147058823529412,0.0147058823529412,0.0147058823529412,0.0147058823529412,0.0147058823529412,0.0147058823529412,0.0147058823529412,0.0147058823529412,0.0147058823529412,0.0149253731343284,0.0149253731343284,0.0147058823529412,0.0147058823529412,0.0147058823529412,0.0142857142857143,0.0142857142857143,0.0142857142857143,0.0142857142857143,0.0142857142857143,0.0142857142857143,0.0142857142857143,0.0142857142857143,0.0142857142857143,0.0142857142857143,0.0144927536231884,0.0144927536231884,0.0142857142857143,0.0142857142857143,0.0142857142857143,0.0142857142857143,0.0142857142857143,0.0142857142857143,0.0142857142857143,0.0142857142857143,0.0142857142857143,0.0142857142857143,0.0144927536231884,0.0144927536231884,0.0144927536231884,0.0147058823529412,0.0147058823529412,0.0144927536231884,0.0144927536231884,0.0144927536231884,0.0144927536231884,0.0144927536231884,0.0144927536231884,0.0144927536231884,0.0144927536231884,0.0144927536231884,0.0144927536231884,0.0147058823529412,0.0147058823529412,0.0144927536231884,0.0147058823529412,0.0147058823529412,0.0144927536231884,0.0144927536231884,0.0144927536231884,0.0144927536231884,0.0144927536231884,0.0144927536231884,0.0144927536231884,0.0144927536231884,0.0144927536231884,0.0144927536231884,0.0147058823529412,0.0147058823529412,0.0144927536231884
"15",0.0138888888888889,0.0138888888888889,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0138888888888889,0.0138888888888889,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0666666666666667,0.0666666666666667,0.0666666666666667,0.0714285714285714,0.0714285714285714,0.0666666666666667,0.0666666666666667,0.0666666666666667,0.0666666666666667,0.0666666666666667,0.0666666666666667,0.0666666666666667,0.0666666666666667,0.0666666666666667,0.0666666666666667,0.0714285714285714,0.0714285714285714,0.0135135135135135,0.0136986301369863,0.0136986301369863,0.0135135135135135,0.0135135135135135,0.0135135135135135,0.0135135135135135,0.0135135135135135,0.0135135135135135,0.0135135135135135,0.0135135135135135,0.0135135135135135,0.0135135135135135,0.0136986301369863,0.0136986301369863,0.0135135135135135,0.0136986301369863,0.0136986301369863,0.0135135135135135,0.0135135135135135,0.0135135135135135,0.0135135135135135,0.0135135135135135,0.0135135135135135,0.0135135135135135,0.0135135135135135,0.0135135135135135,0.0135135135135135,0.0136986301369863,0.0136986301369863,0.0135135135135135
"16",0.012987012987013,0.012987012987013,0.0128205128205128,0.0128205128205128,0.0128205128205128,0.0128205128205128,0.0128205128205128,0.0128205128205128,0.0128205128205128,0.0128205128205128,0.0128205128205128,0.0128205128205128,0.012987012987013,0.012987012987013,0.0128205128205128,0.0128205128205128,0.0128205128205128,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0126582278481013,0.0126582278481013,0.0126582278481013,0.0128205128205128,0.0128205128205128,0.0126582278481013,0.0126582278481013,0.0126582278481013,0.0126582278481013,0.0126582278481013,0.0126582278481013,0.0126582278481013,0.0126582278481013,0.0126582278481013,0.0126582278481013,0.0128205128205128,0.0128205128205128,0.0126582278481013,0.0128205128205128,0.0128205128205128,0.0126582278481013,0.0126582278481013,0.0126582278481013,0.0126582278481013,0.0126582278481013,0.0126582278481013,0.0126582278481013,0.0126582278481013,0.0126582278481013,0.0126582278481013,0.0128205128205128,0.0128205128205128,0.0126582278481013,0.0128205128205128,0.0128205128205128,0.0126582278481013,0.0126582278481013,0.0126582278481013,0.0126582278481013,0.0126582278481013,0.0126582278481013,0.0126582278481013,0.0126582278481013,0.0126582278481013,0.0126582278481013,0.0128205128205128,0.0128205128205128,0.0126582278481013
"17",0.0121951219512195,0.0121951219512195,0.0120481927710843,0.0120481927710843,0.0120481927710843,0.0120481927710843,0.0120481927710843,0.0120481927710843,0.0120481927710843,0.0666666666666667,0.0666666666666667,0.0666666666666667,0.0714285714285714,0.0714285714285714,0.0666666666666667,0.0666666666666667,0.0666666666666667,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0625,0.0625,0.0119047619047619,0.0120481927710843,0.0120481927710843,0.0119047619047619,0.0119047619047619,0.0119047619047619,0.0119047619047619,0.0119047619047619,0.0119047619047619,0.0119047619047619,0.0119047619047619,0.0119047619047619,0.0119047619047619,0.0120481927710843,0.0120481927710843,0.0119047619047619,0.0120481927710843,0.0120481927710843,0.0119047619047619,0.0119047619047619,0.0119047619047619,0.0119047619047619,0.0119047619047619,0.0119047619047619,0.0119047619047619,0.0119047619047619,0.0119047619047619,0.0119047619047619,0.0120481927710843,0.0120481927710843,0.0119047619047619,0.0120481927710843,0.0120481927710843,0.0119047619047619,0.0119047619047619,0.0119047619047619,0.0119047619047619,0.0119047619047619,0.0119047619047619,0.0119047619047619,0.0119047619047619,0.0119047619047619,0.0119047619047619,0.0120481927710843,0.0120481927710843,0.0119047619047619
"18",0.0114942528735632,0.0114942528735632,0.0113636363636364,0.0113636363636364,0.0113636363636364,0.0113636363636364,0.0113636363636364,0.0113636363636364,0.0113636363636364,0.0114942528735632,0.0114942528735632,0.0114942528735632,0.0116279069767442,0.0116279069767442,0.0114942528735632,0.0114942528735632,0.0114942528735632,0.0112359550561798,0.0112359550561798,0.0112359550561798,0.0112359550561798,0.0112359550561798,0.0112359550561798,0.0112359550561798,0.0113636363636364,0.0113636363636364,0.0112359550561798,0.0113636363636364,0.0113636363636364,0.0112359550561798,0.0112359550561798,0.0112359550561798,0.0112359550561798,0.0112359550561798,0.0112359550561798,0.0112359550561798,0.0112359550561798,0.0112359550561798,0.0112359550561798,0.0113636363636364,0.0113636363636364,0.0112359550561798,0.0113636363636364,0.0113636363636364,0.0112359550561798,0.0112359550561798,0.0112359550561798,0.0112359550561798,0.0112359550561798,0.0112359550561798,0.0112359550561798,0.0112359550561798,0.0112359550561798,0.0112359550561798,0.0113636363636364,0.0113636363636364,0.0112359550561798,0.0113636363636364,0.0113636363636364,0.0112359550561798,0.0112359550561798,0.0112359550561798,0.0112359550561798,0.0112359550561798,0.0112359550561798,0.0112359550561798,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0625,0.0625,0.0588235294117647
"19",0.0625,0.0625,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0625,0.0625,0.0108695652173913,0.010989010989011,0.010989010989011,0.0108695652173913,0.0108695652173913,0.0108695652173913,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.010752688172043,0.010752688172043,0.0106382978723404,0.010752688172043,0.010752688172043,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.010752688172043,0.010752688172043,0.0106382978723404,0.010752688172043,0.010752688172043,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.010752688172043,0.010752688172043,0.0106382978723404,0.010752688172043,0.010752688172043,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.0106382978723404,0.010752688172043,0.010752688172043,0.010752688172043,0.0108695652173913,0.0108695652173913,0.010752688172043
"20",0.0104166666666667,0.0104166666666667,0.0103092783505155,0.0103092783505155,0.0103092783505155,0.0103092783505155,0.0103092783505155,0.0103092783505155,0.0103092783505155,0.0104166666666667,0.0104166666666667,0.0103092783505155,0.0104166666666667,0.0104166666666667,0.0103092783505155,0.0103092783505155,0.0103092783505155,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0102040816326531,0.0102040816326531,0.0101010101010101,0.0102040816326531,0.0102040816326531,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0102040816326531,0.0102040816326531,0.0101010101010101,0.0102040816326531,0.0102040816326531,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.0555555555555556,0.0555555555555556,0.0526315789473684,0.0555555555555556,0.0555555555555556,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.0555555555555556,0.0555555555555556,0.0102040816326531,0.0103092783505155,0.0103092783505155,0.0102040816326531
